date,close
2016-05-27,11.3921
2016-05-30,11.4922
2016-05-31,11.4922
2016-06-01,11.5923
2016-06-02,11.5923
2016-06-03,11.6196
2016-06-04,11.6378
2016-06-06,11.656
2016-06-07,11.8107
2016-06-08,11.8743
2016-06-13,11.6014
2016-06-14,11.6742
2016-06-15,11.6924
2016-06-16,11.5286
2016-06-17,11.656
2016-06-20,11.7379
2016-06-21,11.7834
2016-06-22,11.8198
2016-06-23,11.7925
2016-06-24,11.4831
2016-06-27,11.6014
2016-06-28,11.6469
2016-06-29,11.7743
2016-06-30,11.9107
2016-07-01,12.0563
2016-07-04,12.0654
2016-07-05,12.029
2016-07-06,11.8107
2016-07-07,11.9562
2016-07-11,12.1928
2016-07-12,12.302
2016-07-13,12.3111
2016-07-14,12.3202
2016-07-15,12.4658
2016-07-18,12.5841
2016-07-19,12.6023
2016-07-20,12.5932
2016-07-21,12.6569
2016-07-22,12.6114
2016-07-25,12.5568
2016-07-26,12.6296
2016-07-27,12.6842
2016-07-28,12.721
2016-07-29,12.6289
2016-08-01,12.7671
2016-08-02,12.7671
2016-08-03,12.6657
2016-08-04,12.6934
2016-08-05,12.8223
2016-08-08,12.9052
2016-08-09,12.9697
2016-08-10,13.0066
2016-08-11,12.8868
2016-08-12,12.9329
2016-08-15,12.9605
2016-08-16,12.8868
2016-08-17,12.9052
2016-08-18,12.8776
2016-08-19,12.7486
2016-08-22,12.6565
2016-08-23,12.7855
2016-08-24,12.7486
2016-08-25,12.896
2016-08-26,12.9144
2016-08-29,12.9052
2016-08-30,12.896
2016-08-31,12.7855
2016-09-01,12.721
2016-09-02,12.7394
2016-09-05,12.9513
2016-09-06,13.0526
2016-09-07,13.2368
2016-09-08,13.1908
2016-09-09,12.9697
2016-09-10,12.7855
2016-09-12,12.6842
2016-09-13,12.6842
2016-09-14,12.6105
2016-09-19,13.0803
2016-09-20,13.0618
2016-09-21,13.1263
2016-09-22,13.1539
2016-09-23,13.2461
2016-09-26,13.0803
2016-09-29,13.2461
2016-09-30,13.071
2016-10-03,13.1632
2016-10-04,13.2184
2016-10-05,13.1724
2016-10-06,13.2092
2016-10-07,13.2
2016-10-11,13.1632
2016-10-12,13.3105
2016-10-13,13.2092
2016-10-14,13.1632
2016-10-17,13.1632
2016-10-18,13.2553
2016-10-19,13.329
2016-10-20,13.3842
2016-10-21,13.375
2016-10-24,13.3934
2016-10-25,13.5224
2016-10-26,13.4487
2016-10-27,13.375
2016-10-28,13.375
2016-10-31,13.375
2016-11-01,13.375
2016-11-02,13.2184
2016-11-03,13.1171
2016-11-04,13.0803
2016-11-07,13.2645
2016-11-08,13.329
2016-11-09,12.896
2016-11-10,13.2645
2016-11-11,12.9052
2016-11-14,12.9144
2016-11-15,12.8776
2016-11-16,12.896
2016-11-17,12.9329
2016-11-18,12.9697
2016-11-21,12.9881
2016-11-22,13.1632
2016-11-23,13.2276
2016-11-24,13.1539
2016-11-25,13.1447
2016-11-28,13.2184
2016-11-29,13.2
2016-11-30,13.2092
2016-12-01,13.2645
2016-12-02,13.1171
2016-12-05,13.0987
2016-12-06,13.2645
2016-12-07,13.2645
2016-12-08,13.4303
2016-12-09,13.4763
2016-12-12,13.4211
2016-12-13,13.4395
2016-12-14,13.4671
2016-12-15,13.4487
2016-12-16,13.3198
2016-12-19,13.2368
2016-12-20,13.2184
2016-12-21,13.2092
2016-12-22,13.0434
2016-12-23,12.9974
2016-12-26,13.0434
2016-12-27,13.0342
2016-12-28,13.1908
2016-12-29,13.1263
2016-12-30,13.2276
2017-01-03,13.2461
2017-01-04,13.2368
2017-01-05,13.3566
2017-01-06,13.3842
2017-01-09,13.3474
2017-01-10,13.3382
2017-01-11,13.3382
2017-01-12,13.4763
2017-01-13,13.375
2017-01-16,13.2645
2017-01-17,13.3198
2017-01-18,13.2921
2017-01-19,13.2553
2017-01-20,13.2921
2017-01-23,13.4027
2017-01-24,13.504
2017-02-02,13.4303
2017-02-03,13.4211
2017-02-06,13.4948
2017-02-07,13.504
2017-02-08,13.5323
2017-02-09,13.5794
2017-02-10,13.7303
2017-02-13,13.7586
2017-02-14,13.8057
2017-02-15,13.9378
2017-02-16,13.8529
2017-02-17,13.834
2017-02-18,13.8623
2017-02-20,13.7869
2017-02-21,13.8152
2017-02-22,13.8246
2017-02-23,13.7869
2017-02-24,13.7963
2017-03-01,13.6454
2017-03-02,13.6832
2017-03-03,13.5983
2017-03-06,13.6077
2017-03-07,13.6643
2017-03-08,13.7397
2017-03-09,13.5889
2017-03-10,13.5794
2017-03-13,13.6737
2017-03-14,13.768
2017-03-15,13.7397
2017-03-16,13.9189
2017-03-17,13.9566
2017-03-20,13.9472
2017-03-21,14.1264
2017-03-22,13.9944
2017-03-23,14.0226
2017-03-24,14.0038
2017-03-27,13.9944
2017-03-28,14.0038
2017-03-29,13.9566
2017-03-30,13.9378
2017-03-31,13.9001
2017-04-05,14.0792
2017-04-06,14.0321
2017-04-07,13.9755
2017-04-10,13.9944
2017-04-11,13.9378
2017-04-12,13.9661
2017-04-13,14.0321
2017-04-14,13.8718
2017-04-17,13.8812
2017-04-18,13.8812
2017-04-19,13.7303
2017-04-20,13.7303
2017-04-21,13.8623
2017-04-24,13.8906
2017-04-25,14.0226
2017-04-26,14.0604
2017-04-27,14.0509
2017-04-28,14.0604
2017-05-02,14.183
2017-05-03,14.249
2017-05-04,14.2678
2017-05-05,14.1735
2017-05-08,14.2773
2017-05-09,14.3244
2017-05-10,14.381
2017-05-11,14.4281
2017-05-12,14.3904
2017-05-15,14.4281
2017-05-16,14.4281
2017-05-17,14.3904
2017-05-18,14.315
2017-05-19,14.3055
2017-05-22,14.3433
2017-05-23,14.3998
2017-05-24,14.3904
2017-05-25,14.5224
2017-05-26,14.513
2017-05-31,14.4281
2017-06-01,14.5036
2017-06-02,14.5602
2017-06-03,14.5979
2017-06-05,14.711
2017-06-06,14.7016
2017-06-07,14.7016
2017-06-08,14.7582
2017-06-09,14.711
2017-06-12,14.5507
2017-06-13,14.5696
2017-06-14,14.4942
2017-06-15,14.5036
2017-06-16,14.6545
2017-06-19,14.8148
2017-06-20,14.9845
2017-06-21,15.0034
2017-06-22,15.0411
2017-06-23,15.0317
2017-06-26,15.3523
2017-06-27,15.3334
2017-06-28,15.192
2017-06-29,15.2108
2017-06-30,15.1637
2017-07-03,15.1731
2017-07-04,15.0883
2017-07-05,15.2297
2017-07-06,15.1637
2017-07-07,15.0788
2017-07-10,15.1543
2017-07-11,15.3806
2017-07-12,15.3806
2017-07-13,15.5032
2017-07-14,15.4749
2017-07-17,15.5032
2017-07-18,15.5409
2017-07-19,15.5975
2017-07-20,15.588
2017-07-21,15.4843
2017-07-24,15.522
2017-07-25,15.5503
2017-07-26,15.4937
2017-07-27,15.6541
2017-07-28,15.4843
2017-07-31,15.4748
2017-08-01,15.5604
2017-08-02,15.6935
2017-08-03,15.6365
2017-08-04,15.665
2017-08-07,15.7791
2017-08-08,15.7696
2017-08-09,15.627
2017-08-10,15.5223
2017-08-11,15.4558
2017-08-14,15.3607
2017-08-15,15.4653
2017-08-16,15.4082
2017-08-17,15.5319
2017-08-18,15.4367
2017-08-21,15.4177
2017-08-22,15.5699
2017-08-23,15.5509
